gtx1080ti,gtx1660ti,rtx3070,nvda,spy,bond,difficulty,btc
222,139,360,278.399994,411.359985,3.38,102635,28680.49414
220,139,362,286.799988,414.769989,3.44,100421,28087.17578
221,140,364,278.399994,415.470001,3.59,104615,29227.10352
223,141,365,272.25,411.48999,3.44,104962,29245.51563
223,141,365,272.25,411.48999,3.44,102626,29336.56641
223,141,365,272.25,411.48999,3.44,102224,29481.01367
223,141,365,273.630005,407,3.53,100303,28428.46484
223,141,366,270.019989,406.720001,3.43,102301,28300.05859
223,141,366,270.779999,410.579987,3.4,103279,27514.87305
223,141,366,270.130005,411.98999,3.52,108743,27591.73047
223,141,367,269.519989,412.190002,3.57,111237,27816.14453
223,141,367,269.519989,412.190002,3.57,106738,27265.89453
224,140,367,269.519989,412.190002,3.57,110273,28249.23047
224,141,367,276.709991,411.209991,3.54,111221,28823.68359
224,141,366,273.609985,412.220001,3.6,114286,30394.1875
225,141,367,275.329987,415.579987,3.58,113757,29449.0918
225,141,369,265.649994,412.369995,3.6,108734,30317.14648
225,141,370,265.040009,412.809998,3.52,109149,30315.97656
225,141,370,265.040009,412.809998,3.52,103143,30490.75
225,141,369,265.040009,412.809998,3.52,101854,30409.5625
225,141,366,267.339996,409.179993,3.45,102193,29892.74023
225,141,366,273.700012,411.869995,3.41,104055,30231.58203
225,141,366,277.23999,410.26001,3.43,108631,29653.67969
225,141,366,268.230011,406.609985,3.41,108678,28336.02734
225,143,367,265.839996,406.769989,3.39,108426,27952.36719
226,142,370,265.839996,406.769989,3.39,102233,27920.51367
226,142,370,265.839996,406.769989,3.39,106590,28038.9668
227,143,370,265.839996,406.769989,3.3,102243,28175.22656
228,143,372,268.290009,407.910004,3.3,104442,28169.72656
228,143,372,279.660004,411.619995,3.35,109175,27795.27344
228,143,373,275.089996,408.850006,3.43,107688,28183.08008
230,143,372,271.399994,404.660004,3.48,111419,28462.8457
230,143,375,271.399994,404.660004,3.48,117714,28473.33203
230,143,376,271.399994,404.660004,3.48,121859,28032.26172
230,143,379,272.290009,404.089996,3.55,124649,28350.14063
231,143,379,268.25,399.929993,3.57,129699,27267.03125
234,143,380,264.470001,395.769989,3.55,130860,27132.88867
235,143,380,268.369995,398.119995,3.53,136442,27994.06836
235,143,380,270.309998,391.839996,3.38,139249,27495.52344
235,143,381,270.309998,391.839996,3.38,132791,27487.33789
234,143,382,270.309998,391.839996,3.38,126331,28324.11133
235,143,383,271.149994,395.089996,3.38,122186,27301.95703
236,143,385,264.25,398.730011,3.48,116864,28158.7207
236,143,385,261.799988,397.23999,3.59,132095,27768.39258
236,144,387,256.149994,390.799988,3.47,148873,28041.60156
236,143,386,259.820007,393.220001,3.39,150774,26969.50391
237,143,386,259.820007,393.220001,3.39,122462,27448.11719
236,143,387,259.820007,393.220001,3.39,127198,25055.12305
237,143,388,240.270004,386.820007,3.56,130697,24373.45703
237,143,390,237.610001,385.890015,3.51,125697,24770.92578
236,143,390,234.960007,390.5,3.64,127591,24201.76563
235,143,390,227.520004,381.809998,3.55,133423,22156.40625
235,143,390,234.089996,390.98999,3.7,133117,20628.0293
236,143,391,234.089996,390.98999,3.7,130415,20187.87695
236,143,391,234.089996,390.98999,3.7,129412,20367.00195
237,144,391,241.75,399.73999,3.93,136671,21720.08008
237,144,391,234.869995,398.390015,3.98,135793,22216.44141
236,143,390,236,404.420013,3.97,128107,22428.32227
236,143,391,238.910004,405.049988,3.98,131389,22436.81641
236,143,391,233.199997,399.709991,3.97,133781,22354.14453
235,143,391,233.199997,399.709991,3.97,139194,22362.92383
235,143,391,233.199997,399.709991,3.97,137469,23476.63281
235,143,390,224.880005,392.679993,4.08,131988,23647.01953
235,141,390,231.919998,395.410004,4.01,142247,23150.92969
233,141,390,233.720001,397.230011,3.92,148219,23521.83789
233,140,390,236.699997,399.869995,3.92,146355,23561.45117
233,140,390,232.25,395.420013,3.95,153772,23174.15039
233,140,389,232.25,395.420013,3.95,152558,23200.125
233,140,390,232.25,395.420013,3.95,151721,23946.00781
233,140,389,234.399994,401.559998,3.88,155409,24190.71875
233,140,388,207.070007,399.519989,3.93,135034,24437.41797
233,140,389,210,403.059998,3.95,137783,24833.04883
233,140,390,216.309998,406.059998,3.82,140631,24336.62305
233,140,390,216.309998,406.059998,3.82,143677,24640.02734
235,140,390,216.309998,406.059998,3.82,148864,24565.29688
235,140,390,216.309998,406.059998,3.82,145328,23621.2832
238,140,390,221.330002,408.790009,3.86,141928,24307.34961
237,140,390,225.490005,410.350006,3.81,148600,22220.58594
238,140,390,215.779999,411.23999,3.77,143956,21801.82227
238,140,390,215.380005,408.720001,3.72,153747,21787
239,141,390,216.899994,405.859985,3.74,157671,21870.90234
240,140,390,216.899994,405.859985,3.74,160894,21651.8418
240,141,390,216.899994,405.859985,3.74,149403,21819.00586
240,140,390,226.059998,414.410004,3.67,152336,22946.56641
241,140,391,223.869995,413.130005,3.63,148386,23263.41602
242,140,392,213.820007,408.869995,3.67,143420,22757.26758
242,140,392,208.059998,409.790009,3.63,144118,22954.02148
243,140,394,210,411.589996,3.53,152410,23332.24805
244,140,394,210,411.589996,3.53,149117,23446.32031
245,140,395,210,411.589996,3.53,145600,23469.41211
249,142,397,210,414.859985,3.4,132568,23720.82422
249,142,397,196.910004,405.209991,3.39,142718,23137.83594
250,143,398,191.699997,401.130005,3.52,133866,22840.79688
250,144,400,199.5,402.799988,3.55,138080,23774.64844
250,145,400,194.619995,403.660004,3.52,139400,23031.44922
250,145,400,194.619995,403.660004,3.52,136034,23079.96484
250,145,400,194.619995,403.660004,3.52,133007,23030.7168
250,146,400,197.009995,403.130005,3.49,137340,23108.95508
250,147,400,189.130005,395.950012,3.46,135738,22639.26758
250,149,400,188.270004,398.880005,3.46,124927,22929.62695
250,149,400,180.639999,396.720001,3.52,134589,22721.08789
250,150,400,170.110001,390.100006,3.48,133018,22777.98633
250,150,400,170.110001,390.100006,3.48,132398,22677.42773
250,150,400,170.110001,390.100006,3.48,125755,21085.37305
251,149,400,170.360001,389.359985,3.39,125259,20686.74609
250,149,400,176.669998,399.01001,3.37,133218,21161.05078
254,149,400,168.990005,398.480011,3.53,128739,21175.83398
251,149,400,162.779999,393.619995,3.49,131486,20882.22461
251,147,400,162.779999,393.619995,3.49,126046,20977.48438
255,147,400,162.779999,393.619995,3.49,131711,19910.53711
255,146,400,162.779999,393.619995,3.49,127115,18868.90625
254,148,400,161,396.670013,3.43,127343,18117.59375
254,147,400,158.399994,392.230011,3.54,126896,17446.35938
252,148,400,155.070007,387.25,3.61,126298,17192.94922
252,148,400,152.839996,390.369995,3.53,133689,17093.99219
252,148,400,144.740005,382.609985,3.55,131568,16954.14648
253,149,400,144.740005,382.609985,3.55,131958,16952.11719
254,149,400,144.740005,382.609985,3.55,134569,16836.47266
254,149,400,144.910004,381.720001,3.71,132776,16863.47266
254,149,400,145.669998,383.179993,3.69,132288,16680.20508
250,145,399,148.509995,384.369995,3.79,127195,16688.84766
251,145,399,143.339996,380.640015,3.88,130889,16625.50977
251,145,398,143.339996,380.640015,3.88,135522,16547.91406
250,144,399,143.339996,380.640015,3.88,132195,16603.67383
