Date,Open
5/3/2023,3.38
5/2/2023,3.44
5/1/2023,3.59
4/28/2023,3.44
4/27/2023,3.53
4/26/2023,3.43
4/25/2023,3.4
4/24/2023,3.52
4/21/2023,3.57
4/20/2023,3.54
4/19/2023,3.6
4/18/2023,3.58
4/17/2023,3.6
4/14/2023,3.52
4/13/2023,3.45
4/12/2023,3.41
4/11/2023,3.43
4/10/2023,3.41
4/7/2023,3.39
4/6/2023,3.3
4/5/2023,3.3
4/4/2023,3.35
4/3/2023,3.43
3/31/2023,3.48
3/30/2023,3.55
3/29/2023,3.57
3/28/2023,3.55
3/27/2023,3.53
3/24/2023,3.38
3/23/2023,3.38
3/22/2023,3.48
3/21/2023,3.59
3/20/2023,3.47
3/17/2023,3.39
3/16/2023,3.56
3/15/2023,3.51
3/14/2023,3.64
3/13/2023,3.55
3/10/2023,3.7
3/9/2023,3.93
3/8/2023,3.98
3/7/2023,3.97
3/6/2023,3.98
3/3/2023,3.97
3/2/2023,4.08
3/1/2023,4.01
2/28/2023,3.92
2/27/2023,3.92
2/24/2023,3.95
2/23/2023,3.88
2/22/2023,3.93
2/21/2023,3.95
2/17/2023,3.82
2/16/2023,3.86
2/15/2023,3.81
2/14/2023,3.77
2/13/2023,3.72
2/10/2023,3.74
2/9/2023,3.67
2/8/2023,3.63
2/7/2023,3.67
2/6/2023,3.63
2/3/2023,3.53
2/2/2023,3.4
2/1/2023,3.39
1/31/2023,3.52
1/30/2023,3.55
1/27/2023,3.52
1/26/2023,3.49
1/25/2023,3.46
1/24/2023,3.46
1/23/2023,3.52
1/20/2023,3.48
1/19/2023,3.39
1/18/2023,3.37
1/17/2023,3.53
1/13/2023,3.49
1/12/2023,3.43
1/11/2023,3.54
1/10/2023,3.61
1/9/2023,3.53
1/6/2023,3.55
1/5/2023,3.71
1/4/2023,3.69
1/3/2023,3.79
12/30/2022,3.88
12/29/2022,3.83
12/28/2022,3.88
12/27/2022,3.84
12/23/2022,3.75
12/22/2022,3.67
12/21/2022,3.68
12/20/2022,3.69
12/19/2022,3.57
12/16/2022,3.48
12/15/2022,3.44
12/14/2022,3.49
12/13/2022,3.51
12/12/2022,3.61
12/9/2022,3.57
12/8/2022,3.48
12/7/2022,3.42
12/6/2022,3.51
12/5/2022,3.6
12/2/2022,3.51
12/1/2022,3.53
11/30/2022,3.68
11/29/2022,3.75
11/28/2022,3.69
11/25/2022,3.68
11/23/2022,3.71
11/22/2022,3.76
11/21/2022,3.83
11/18/2022,3.82
11/17/2022,3.77
11/16/2022,3.67
11/15/2022,3.8
11/14/2022,3.88
11/10/2022,3.82
11/9/2022,4.12
11/8/2022,4.14
11/7/2022,4.22
11/4/2022,4.17
11/3/2022,4.14
11/2/2022,4.1
11/1/2022,4.07
10/31/2022,4.1
10/28/2022,4.02
10/27/2022,3.96
10/26/2022,4.04
10/25/2022,4.1
10/24/2022,4.25
10/21/2022,4.21
10/20/2022,4.24
10/19/2022,4.14
10/18/2022,4.01
10/17/2022,4.02
10/14/2022,4
10/13/2022,3.97
10/12/2022,3.91
10/11/2022,3.93
10/7/2022,3.89
10/6/2022,3.83
10/5/2022,3.76
10/4/2022,3.62
10/3/2022,3.67
9/30/2022,3.83
9/29/2022,3.76
9/28/2022,3.72
9/27/2022,3.97
9/26/2022,3.88
9/23/2022,3.69
9/22/2022,3.7
9/21/2022,3.51
9/20/2022,3.57
9/19/2022,3.49
9/16/2022,3.45
9/15/2022,3.45
9/14/2022,3.41
9/13/2022,3.42
9/12/2022,3.37
9/9/2022,3.33
9/8/2022,3.29
9/7/2022,3.27
9/6/2022,3.33
9/2/2022,3.2
9/1/2022,3.26
8/31/2022,3.15
8/30/2022,3.11
8/29/2022,3.12
8/26/2022,3.04
8/25/2022,3.03
8/24/2022,3.11
8/23/2022,3.05
8/22/2022,3.03
8/19/2022,2.98
8/18/2022,2.88
8/17/2022,2.89
8/16/2022,2.82
8/15/2022,2.79
8/12/2022,2.84
8/11/2022,2.87
8/10/2022,2.78
8/9/2022,2.8
8/8/2022,2.77
8/5/2022,2.83
8/4/2022,2.68
8/3/2022,2.73
8/2/2022,2.75
8/1/2022,2.6
7/29/2022,2.67
7/28/2022,2.68
7/27/2022,2.78
7/26/2022,2.81
7/25/2022,2.81
7/22/2022,2.77
7/21/2022,2.91
7/20/2022,3.04
7/19/2022,3.01
7/18/2022,2.96
7/15/2022,2.93
7/14/2022,2.96
7/13/2022,2.91
7/12/2022,2.96
7/11/2022,2.99
7/8/2022,3.09
7/7/2022,3.01
7/6/2022,2.93
7/5/2022,2.82
7/1/2022,2.88
6/30/2022,2.98
6/29/2022,3.1
6/28/2022,3.2
6/27/2022,3.2
6/24/2022,3.13
6/23/2022,3.09
6/22/2022,3.16
6/21/2022,3.31
6/17/2022,3.25
6/16/2022,3.28
6/15/2022,3.33
6/14/2022,3.49
6/13/2022,3.43
6/10/2022,3.15
6/9/2022,3.04
6/8/2022,3.03
6/7/2022,2.98
6/6/2022,3.04
6/3/2022,2.96
6/2/2022,2.92
6/1/2022,2.94
5/31/2022,2.85
5/27/2022,2.74
5/26/2022,2.75
5/25/2022,2.75
5/24/2022,2.76
5/23/2022,2.86
5/20/2022,2.78
5/19/2022,2.84
5/18/2022,2.89
5/17/2022,2.98
5/16/2022,2.88
5/13/2022,2.93
5/12/2022,2.84
5/11/2022,2.91
5/10/2022,2.99
5/9/2022,3.05
5/6/2022,3.12
