Date,Open,High,Low,Close,Adj Close,Volume
5/3/2023,278.399994,283.670013,274.720001,278.019989,278.019989,38338700
5/2/2023,286.799988,288.359985,280.829987,282.100006,282.100006,40273000
5/1/2023,278.399994,290.579987,277.799988,289.100006,289.100006,57032900
4/30/2023,272.25,,,,,
4/29/2023,272.25,,,,,
4/28/2023,272.25,277.579987,270.709991,277.48999,277.48999,29168700
4/27/2023,273.630005,274.950012,266.25,272.26001,272.26001,37716100
4/26/2023,270.019989,273.299988,267.049988,269.559998,269.559998,40633700
4/25/2023,270.779999,272.470001,262.25,262.410004,262.410004,37852700
4/24/2023,270.130005,273.660004,266.709991,270.420013,270.420013,33928200
4/23/2023,269.519989,,,,,
4/22/2023,269.519989,,,,,
4/21/2023,269.519989,271.829987,267.220001,271.190002,271.190002,34510300
4/20/2023,276.709991,280.299988,270,271.040009,271.040009,42771300
4/19/2023,273.609985,280,272.320007,279.309998,279.309998,35866000
4/18/2023,275.329987,281.100006,273.570007,276.670013,276.670013,60481200
4/17/2023,265.649994,270.059998,264.329987,270.019989,270.019989,32147100
4/16/2023,265.040009,,,,,
4/15/2023,265.040009,,,,,
4/14/2023,265.040009,268.829987,262.200012,267.579987,267.579987,39566000
4/13/2023,267.339996,268.869995,263.290009,264.630005,264.630005,35361500
4/12/2023,273.700012,274.679993,264.480011,264.950012,264.950012,44625900
4/11/2023,277.23999,277.899994,271.26001,271.690002,271.690002,31437800
4/10/2023,268.230011,276.209991,266.690002,275.790009,275.790009,39527900
4/9/2023,265.839996,,,,,
4/8/2023,265.839996,,,,,
4/7/2023,265.839996,,,,,
4/6/2023,265.839996,270.799988,264.269989,270.369995,270.369995,39765400
4/5/2023,268.290009,269.980011,263.950012,268.809998,268.809998,51501500
4/4/2023,279.660004,280,273.070007,274.529999,274.529999,36859200
4/3/2023,275.089996,280,273.359985,279.649994,279.649994,39871600
4/2/2023,271.399994,,,,,
4/1/2023,271.399994,,,,,
3/31/2023,271.399994,278.339996,271.049988,277.769989,277.769989,43393300
3/30/2023,272.290009,274.98999,271.019989,273.829987,273.829987,36451600
