Date,Open,High,Low,Close,Adj Close,Volume
5/3/2023,411.359985,413.869995,407.769989,408.019989,408.019989,91531800
5/2/2023,414.769989,414.820007,407.820007,410.839996,410.839996,103998500
5/1/2023,415.470001,417.619995,415.269989,415.51001,415.51001,62122300
4/30/2023,411.48999,,,,,
4/29/2023,411.48999,,,,,
4/28/2023,411.48999,415.940002,411.429993,415.929993,415.929993,89335600
4/27/2023,407,412.690002,406.73999,412.410004,412.410004,92968400
4/26/2023,406.720001,407.839996,403.779999,404.359985,404.359985,80447000
4/25/2023,410.579987,411.160004,406.019989,406.079987,406.079987,97766700
4/24/2023,411.98999,413.070007,410.600006,412.630005,412.630005,64332100
4/23/2023,412.190002,,,,,
4/22/2023,412.190002,,,,,
4/21/2023,412.190002,412.679993,410.170013,412.200012,412.200012,73457400
4/20/2023,411.209991,413.700012,410.269989,411.880005,411.880005,75840400
4/19/2023,412.220001,415.079987,412.160004,414.140015,414.140015,55227300
4/18/2023,415.579987,415.720001,412.779999,414.209991,414.209991,63560000
4/17/2023,412.369995,413.959991,411.089996,413.940002,413.940002,66436400
4/16/2023,412.809998,,,,,
4/15/2023,412.809998,,,,,
4/14/2023,412.809998,415.089996,410.059998,412.459991,412.459991,78161500
4/13/2023,409.179993,413.839996,407.98999,413.470001,413.470001,85814800
4/12/2023,411.869995,412.170013,407.440002,408.049988,408.049988,86420400
4/11/2023,410.26001,411.179993,408.920013,409.720001,409.720001,59297900
4/10/2023,406.609985,409.690002,405.970001,409.609985,409.609985,63681000
4/9/2023,406.769989,,,,,
4/8/2023,406.769989,,,,,
4/7/2023,406.769989,,,,,
4/6/2023,406.769989,409.480011,405.679993,409.190002,409.190002,63743300
4/5/2023,407.910004,408.700012,405.880005,407.600006,407.600006,65200200
4/4/2023,411.619995,411.920013,407.23999,408.670013,408.670013,66601500
4/3/2023,408.850006,411.369995,408.440002,410.950012,410.950012,67391100
4/2/2023,404.660004,,,,,
4/1/2023,404.660004,,,,,
3/31/2023,404.660004,409.700012,404.549988,409.390015,409.390015,112062600
3/30/2023,404.089996,404.350006,401.76001,403.700012,403.700012,69840000
3/29/2023,399.929993,401.600006,398.679993,401.350006,401.350006,77497900
3/28/2023,395.769989,396.48999,393.690002,395.600006,395.600006,62871700
3/27/2023,398.119995,398.920013,395.559998,396.48999,396.48999,74010400
3/26/2023,391.839996,,,,,
3/25/2023,391.839996,,,,,
3/24/2023,391.839996,395.839996,389.399994,395.75,395.75,107682400
3/23/2023,395.089996,399.290009,390.350006,393.170013,393.170013,119351300
3/22/2023,398.730011,402.48999,392.070007,392.109985,392.109985,111746600
3/21/2023,397.23999,399.410004,395.579987,398.910004,398.910004,91524200
3/20/2023,390.799988,394.170013,390.070007,393.73999,393.73999,93055800
3/19/2023,393.220001,,,,,
3/18/2023,393.220001,,,,,
3/17/2023,393.220001,394.399994,388.549988,389.98999,389.98999,140553400
3/16/2023,386.820007,396.470001,386.290009,396.109985,394.603973,143254200
3/15/2023,385.890015,389.48999,383.709991,389.279999,387.799957,172996900
3/14/2023,390.5,393.450012,387.049988,391.730011,390.240662,149752400
3/13/2023,381.809998,390.390015,380.649994,385.359985,383.894836,157790000
3/12/2023,390.98999,,,,,
3/11/2023,390.98999,,,,,
3/10/2023,390.98999,393.160004,384.320007,385.910004,384.44278,189253000
3/9/2023,399.73999,401.480011,390.529999,391.559998,390.071289,111945300
3/8/2023,398.390015,399.709991,396.589996,398.920013,397.40332,74746600
3/7/2023,404.420013,404.670013,397.630005,398.269989,396.755768,108310600
3/6/2023,405.049988,407.450012,404.01001,404.470001,402.93222,72795900
3/5/2023,399.709991,,,,,
3/4/2023,399.709991,,,,,
3/3/2023,399.709991,404.450012,399.029999,404.190002,402.653259,90120000
3/2/2023,392.679993,398.690002,392.329987,397.809998,396.297516,85127800
3/1/2023,395.410004,396.690002,393.380005,394.73999,393.239197,99706800
2/28/2023,397.230011,399.279999,396.149994,396.26001,394.753418,96438600
2/27/2023,399.869995,401.290009,396.75,397.730011,396.217834,80444700
2/26/2023,395.420013,,,,,
2/25/2023,395.420013,,,,,
2/24/2023,395.420013,397.25,393.640015,396.380005,394.872955,108194400
2/23/2023,401.559998,402.200012,396.25,400.660004,399.136688,96242400
2/22/2023,399.519989,401.130005,397.019989,398.540009,397.02475,83742300
2/21/2023,403.059998,404.160004,398.820007,399.089996,397.572662,82655900
2/20/2023,406.059998,,,,,
2/19/2023,406.059998,,,,,
2/18/2023,406.059998,,,,,
2/17/2023,406.059998,407.51001,404.049988,407.26001,405.711609,89257800
2/16/2023,408.790009,412.910004,408.140015,408.279999,406.727722,76431500
2/15/2023,410.350006,414.059998,409.470001,413.980011,412.406067,61555700
2/14/2023,411.23999,415.049988,408.51001,412.640015,411.071167,88389300
2/13/2023,408.720001,412.970001,408.23999,412.829987,411.260406,64913500
2/12/2023,405.859985,,,,,
2/11/2023,405.859985,,,,,
2/10/2023,405.859985,408.440002,405.01001,408.040009,406.488647,70769700
2/9/2023,414.410004,414.570007,405.809998,407.089996,405.542236,78694900
2/8/2023,413.130005,414.529999,409.929993,410.649994,409.088715,76227500
2/7/2023,408.869995,416.48999,407.570007,415.190002,413.61145,90990700
2/6/2023,409.790009,411.290009,408.100006,409.829987,408.27182,60295300
2/5/2023,411.589996,,,,,
2/4/2023,411.589996,,,,,
2/3/2023,411.589996,416.970001,411.089996,412.350006,410.782257,94736800
2/2/2023,414.859985,418.309998,412.880005,416.779999,415.195404,101654500
2/1/2023,405.209991,413.670013,402.350006,410.799988,409.238129,101459200
1/31/2023,401.130005,406.529999,400.769989,406.480011,404.93457,86811800
1/30/2023,402.799988,405.130005,400.279999,400.589996,399.066956,74202000
1/29/2023,403.660004,,,,,
1/28/2023,403.660004,,,,,
1/27/2023,403.660004,408.160004,403.440002,405.679993,404.137604,68346200
1/26/2023,403.130005,404.920013,400.029999,404.75,403.211151,72287400
1/25/2023,395.950012,400.700012,393.559998,400.350006,398.827881,84800300
1/24/2023,398.880005,401.149994,397.640015,400.200012,398.678436,59524900
1/23/2023,396.720001,402.649994,395.720001,400.630005,399.106812,84178800
1/22/2023,390.100006,,,,,
1/21/2023,390.100006,,,,,
1/20/2023,390.100006,396.040009,388.380005,395.880005,394.374878,91806400
1/19/2023,389.359985,391.079987,387.26001,388.640015,387.162415,86958900
1/18/2023,399.01001,400.119995,391.279999,391.48999,390.001556,99632300
1/17/2023,398.480011,400.230011,397.059998,397.769989,396.25766,62677300
1/16/2023,393.619995,,,,,
1/15/2023,393.619995,,,,,
1/14/2023,393.619995,,,,,
1/13/2023,393.619995,399.100006,393.339996,398.5,396.984894,63903900
1/12/2023,396.670013,398.48999,392.420013,396.959991,395.450745,90157700
1/11/2023,392.230011,395.600006,391.380005,395.519989,394.016235,68881100
1/10/2023,387.25,390.649994,386.269989,390.579987,389.095001,65358100
1/9/2023,390.369995,393.700012,387.670013,387.859985,386.385345,73978100
1/8/2023,382.609985,,,,,
1/7/2023,382.609985,,,,,
1/6/2023,382.609985,389.25,379.410004,388.079987,386.604492,104189600
1/5/2023,381.720001,381.839996,378.76001,379.380005,377.937592,76970500
1/4/2023,383.179993,385.880005,380,383.76001,382.300964,85934100
1/3/2023,384.369995,386.429993,377.829987,380.820007,379.372131,74850700
1/2/2023,380.640015,,,,,
1/1/2023,380.640015,,,,,
12/31/2022,380.640015,,,,,
12/30/2022,380.640015,382.579987,378.429993,382.429993,380.975983,84022200
12/29/2022,379.630005,384.350006,379.079987,383.440002,381.982178,66970900
12/28/2022,381.329987,383.390015,376.420013,376.660004,375.227936,70911500
12/27/2022,382.790009,383.149994,379.649994,381.399994,379.949921,51638200
12/26/2022,379.649994,,,,,
12/25/2022,379.649994,,,,,
12/24/2022,379.649994,,,,,
12/23/2022,379.649994,383.059998,378.029999,382.910004,381.454193,59857300
12/22/2022,383.049988,386.209991,374.769989,380.720001,379.272491,100120900
12/21/2022,383.25,387.410004,382.690002,386.230011,384.761566,78167400
12/20/2022,379.230011,382.230011,377.850006,380.540009,379.093201,74427200
12/19/2022,383.470001,383.820007,378.279999,380.019989,378.575165,79878100
12/18/2022,385.179993,,,,,
12/17/2022,385.179993,,,,,
12/16/2022,385.179993,386.579987,381.040009,383.269989,381.812805,119858000
12/15/2022,394.299988,395.25,387.890015,389.630005,386.37439,117705900
12/14/2022,401.609985,405.5,396.309998,399.399994,396.062744,108111300
12/13/2022,410.220001,410.48999,399.070007,401.970001,398.611298,123782500
12/12/2022,394.109985,398.950012,393.410004,398.950012,395.616516,75405800
12/11/2022,394.940002,,,,,
12/10/2022,394.940002,,,,,
12/9/2022,394.940002,397.619995,393.149994,393.279999,389.993896,81447700
12/8/2022,395.140015,397.359985,393.269989,396.23999,392.929169,60737900
12/7/2022,392.940002,395.640015,391.970001,393.160004,389.874908,65927900
12/6/2022,399.420013,399.98999,391.640015,393.829987,390.539276,77972200
12/5/2022,403.950012,404.929993,398.170013,399.589996,396.25116,77289800
12/4/2022,402.25,,,,,
12/3/2022,402.25,,,,,
12/2/2022,402.25,407.859985,402.140015,406.910004,403.51001,85342700
12/1/2022,408.769989,410,404.75,407.380005,403.976074,76398200
11/30/2022,395.48999,407.679993,393.480011,407.679993,404.27359,144566700
11/29/2022,396.049988,397.299988,393.299988,395.230011,391.927612,52310000
11/28/2022,399.089996,400.809998,395.109985,395.910004,392.601929,67881600
11/27/2022,401.829987,,,,,
11/26/2022,401.829987,,,,,
11/25/2022,401.829987,402.910004,401.540009,402.329987,398.968262,30545400
11/24/2022,399.549988,,,,,
11/23/2022,399.549988,402.929993,399.309998,402.420013,399.057526,68261600
11/22/2022,396.630005,400.070007,395.149994,399.899994,396.558563,60429000
11/21/2022,394.640015,395.820007,392.660004,394.589996,391.292938,51243200
11/20/2022,397.73999,,,,,
11/19/2022,397.73999,,,,,
11/18/2022,397.73999,397.809998,393.040009,396.029999,392.720917,92922500
11/17/2022,390.459991,394.950012,390.140015,394.23999,390.945862,74496300
11/16/2022,396.779999,397.779999,394.790009,395.450012,392.145752,68508500
11/15/2022,401.149994,402.309998,394.48999,398.48999,395.16037,93194500
11/14/2022,396.660004,400.179993,394.829987,395.119995,391.818512,71903500
11/13/2022,395.589996,,,,,
11/12/2022,395.589996,,,,,
11/11/2022,395.589996,399.350006,393.609985,398.51001,395.180206,93839900
11/10/2022,388.049988,395.040009,385.640015,394.690002,391.39212,141455800
11/9/2022,379.929993,381.140015,373.609985,374.130005,371.003906,78495500
11/8/2022,381.109985,385.119995,377.720001,382,378.808136,84641100
11/7/2022,377.709991,380.570007,375.529999,379.950012,376.775269,68286900
11/6/2022,377,,,,,
11/5/2022,377,,,,,
11/4/2022,377,378.869995,370,376.350006,373.205353,103505200
11/3/2022,371.470001,374.200012,368.790009,371.01001,367.909973,87100100
11/2/2022,383.899994,388.630005,374.76001,374.869995,371.737701,126990400
11/1/2022,390.140015,390.390015,383.290009,384.519989,381.307068,85407600
10/31/2022,386.440002,388.399994,385.26001,386.209991,382.982941,96631300
10/30/2022,379.869995,,,,,
10/29/2022,379.869995,,,,,
10/28/2022,379.869995,389.519989,379.679993,389.019989,385.76947,100302000
10/27/2022,383.070007,385,379.329987,379.980011,376.805054,81971800
10/26/2022,381.619995,387.579987,381.350006,382.019989,378.827942,104087300
