datetime,difficulty
5/3/2023 0:00,102635
5/2/2023 0:00,100421
5/1/2023 0:00,104615
4/30/2023 0:00,104962
4/29/2023 0:00,102626
4/28/2023 0:00,102224
4/27/2023 0:00,100303
4/26/2023 0:00,102301
4/25/2023 0:00,103279
4/24/2023 0:00,108743
4/23/2023 0:00,111237
4/22/2023 0:00,106738
4/21/2023 0:00,110273
4/20/2023 0:00,111221
4/19/2023 0:00,114286
4/18/2023 0:00,113757
4/17/2023 0:00,108734
4/16/2023 0:00,109149
4/15/2023 0:00,103143
4/14/2023 0:00,101854
4/13/2023 0:00,102193
4/12/2023 0:00,104055
4/11/2023 0:00,108631
4/10/2023 0:00,108678
4/9/2023 0:00,108426
4/8/2023 0:00,102233
4/7/2023 0:00,106590
4/6/2023 0:00,102243
4/5/2023 0:00,104442
4/4/2023 0:00,109175
4/3/2023 0:00,107688
4/2/2023 0:00,111419
4/1/2023 0:00,117714
3/31/2023 0:00,121859
3/30/2023 0:00,124649
3/29/2023 0:00,129699
3/28/2023 0:00,130860
3/27/2023 0:00,136442
3/26/2023 0:00,139249
3/25/2023 0:00,132791
3/24/2023 0:00,126331
3/23/2023 0:00,122186
3/22/2023 0:00,116864
3/21/2023 0:00,132095
3/20/2023 0:00,148873
3/19/2023 0:00,150774
3/18/2023 0:00,122462
3/17/2023 0:00,127198
3/16/2023 0:00,130697
3/15/2023 0:00,125697
3/14/2023 0:00,127591
3/13/2023 0:00,133423
3/12/2023 0:00,133117
3/11/2023 0:00,130415
3/10/2023 0:00,129412
3/9/2023 0:00,136671
3/8/2023 0:00,135793
3/7/2023 0:00,128107
3/6/2023 0:00,131389
3/5/2023 0:00,133781
3/4/2023 0:00,139194
3/3/2023 0:00,137469
3/2/2023 0:00,131988
3/1/2023 0:00,142247
2/28/2023 0:00,148219
2/27/2023 0:00,146355
2/26/2023 0:00,153772
2/25/2023 0:00,152558
2/24/2023 0:00,151721
2/23/2023 0:00,155409
2/22/2023 0:00,135034
2/21/2023 0:00,137783
2/20/2023 0:00,140631
2/19/2023 0:00,143677
2/18/2023 0:00,148864
2/17/2023 0:00,145328
2/16/2023 0:00,141928
2/15/2023 0:00,148600
2/14/2023 0:00,143956
2/13/2023 0:00,153747
2/12/2023 0:00,157671
2/11/2023 0:00,160894
2/10/2023 0:00,149403
2/9/2023 0:00,152336
2/8/2023 0:00,148386
2/7/2023 0:00,143420
2/6/2023 0:00,144118
2/5/2023 0:00,152410
2/4/2023 0:00,149117
2/3/2023 0:00,145600
2/2/2023 0:00,132568
2/1/2023 0:00,142718
1/31/2023 0:00,133866
1/30/2023 0:00,138080
1/29/2023 0:00,139400
1/28/2023 0:00,136034
1/27/2023 0:00,133007
1/26/2023 0:00,137340
1/25/2023 0:00,135738
1/24/2023 0:00,124927
1/23/2023 0:00,134589
1/22/2023 0:00,133018
1/21/2023 0:00,132398
1/20/2023 0:00,125755
1/19/2023 0:00,125259
1/18/2023 0:00,133218
1/17/2023 0:00,128739
1/16/2023 0:00,131486
1/15/2023 0:00,126046
1/14/2023 0:00,131711
1/13/2023 0:00,127115
1/12/2023 0:00,127343
1/11/2023 0:00,126896
1/10/2023 0:00,126298
1/9/2023 0:00,133689
1/8/2023 0:00,131568
1/7/2023 0:00,131958
1/6/2023 0:00,134569
1/5/2023 0:00,132776
1/4/2023 0:00,132288
1/3/2023 0:00,127195
1/2/2023 0:00,130889
1/1/2023 0:00,135522
12/31/2022 0:00,132195
12/30/2022 0:00,135899
12/29/2022 0:00,134135
12/28/2022 0:00,132809
12/27/2022 0:00,132516
12/26/2022 0:00,131104
12/25/2022 0:00,135038
12/24/2022 0:00,127941
12/23/2022 0:00,137610
12/22/2022 0:00,136020
12/21/2022 0:00,129384
12/20/2022 0:00,127492
12/19/2022 0:00,135797
12/18/2022 0:00,125971
12/17/2022 0:00,129723
12/16/2022 0:00,131771
12/15/2022 0:00,133794
12/14/2022 0:00,125068
12/13/2022 0:00,132972
12/12/2022 0:00,126477
12/11/2022 0:00,121962
12/10/2022 0:00,132624
12/9/2022 0:00,128995
12/8/2022 0:00,132371
12/7/2022 0:00,136744
12/6/2022 0:00,131333
12/5/2022 0:00,139018
12/4/2022 0:00,144268
12/3/2022 0:00,137876
12/2/2022 0:00,133387
12/1/2022 0:00,141483
11/30/2022 0:00,137347
11/29/2022 0:00,131124
11/28/2022 0:00,148153
11/27/2022 0:00,157981
11/26/2022 0:00,148678
11/25/2022 0:00,148104
11/24/2022 0:00,144369
11/23/2022 0:00,151213
11/22/2022 0:00,147310
11/21/2022 0:00,161126
11/20/2022 0:00,160275
11/19/2022 0:00,155591
11/18/2022 0:00,162209
11/17/2022 0:00,159035
11/16/2022 0:00,159947
11/15/2022 0:00,167578
11/14/2022 0:00,168831
11/13/2022 0:00,161472
11/12/2022 0:00,167539
11/11/2022 0:00,171567
11/10/2022 0:00,169056
11/9/2022 0:00,176128
11/8/2022 0:00,185635
11/7/2022 0:00,186289
11/6/2022 0:00,197104
11/5/2022 0:00,195182
11/4/2022 0:00,199046
11/3/2022 0:00,187006
11/2/2022 0:00,189507
11/1/2022 0:00,194144
10/31/2022 0:00,195852
10/30/2022 0:00,203717
10/29/2022 0:00,205630
10/28/2022 0:00,192020
10/27/2022 0:00,187920
10/26/2022 0:00,194659
10/25/2022 0:00,200911
10/24/2022 0:00,205051
10/23/2022 0:00,201809
10/22/2022 0:00,197525
10/21/2022 0:00,207671
10/20/2022 0:00,201052
10/19/2022 0:00,193569
10/18/2022 0:00,198590
10/17/2022 0:00,205997
10/16/2022 0:00,197562
10/15/2022 0:00,209158
10/14/2022 0:00,195930
10/13/2022 0:00,196067
10/12/2022 0:00,199940
10/11/2022 0:00,205955
10/10/2022 0:00,210366
10/9/2022 0:00,212544
10/8/2022 0:00,211889
10/7/2022 0:00,215311
10/6/2022 0:00,197355
10/5/2022 0:00,196075
10/4/2022 0:00,203739
10/3/2022 0:00,215789
10/2/2022 0:00,220375
10/1/2022 0:00,203753
9/30/2022 0:00,213096
9/29/2022 0:00,218356
9/28/2022 0:00,214377
9/27/2022 0:00,234426
9/26/2022 0:00,222936
9/25/2022 0:00,222361
9/24/2022 0:00,236514
9/23/2022 0:00,243536
9/22/2022 0:00,243035
9/21/2022 0:00,238632
9/20/2022 0:00,232309
9/19/2022 0:00,266418
9/18/2022 0:00,247384
9/17/2022 0:00,281832
9/16/2022 0:00,273873
9/15/2022 0:00,217048
9/14/2022 0:00,115364
9/13/2022 0:00,91309
9/12/2022 0:00,74340
9/11/2022 0:00,64930
9/10/2022 0:00,65830
9/9/2022 0:00,54335
9/8/2022 0:00,50934
9/7/2022 0:00,49241
9/6/2022 0:00,44628
9/5/2022 0:00,39179
9/4/2022 0:00,36860
9/3/2022 0:00,38132
9/2/2022 0:00,37561
9/1/2022 0:00,36183
8/31/2022 0:00,37176
8/30/2022 0:00,37618
8/29/2022 0:00,36618
8/28/2022 0:00,37056
8/27/2022 0:00,37734
8/26/2022 0:00,38445
8/25/2022 0:00,38540
8/24/2022 0:00,37386
